Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
84119,"The Horse and His Boy (Chronicles of Narnia, #5)",C.S. Lewis,"Lewis, C.S.",,0439861365,9780439861366,5,3.91,Scholastic Inc,Paperback,224,1995,1954,,6/30/2019,,,read,,,,1,0
84367,"The Magician's Nephew (Chronicles of Narnia, #1)",C.S. Lewis,"Lewis, C.S.",,0590254758,9780590254755,5,4.05,Scholastic,Paperback,202,1995,1955,,6/30/2019,,,read,,,,1,0
214856,"Leven Thumps and the Gateway to Foo (Leven Thumps, #1)",Obert Skye,"Skye, Obert",,1416928065,9781416928065,3,3.74,Aladdin,Paperback,368,2006,2005,,3/16/2019,,,read,,,,1,0
8306745,"A World Without Heroes (Beyonders, #1)",Brandon Mull,"Mull, Brandon",,,,4,4.12,Aladdin,Hardcover,457,2011,2011,,3/16/2019,,,read,,,,1,0
31687423,"The Battlemage (Summoner, #3)",Taran Matharu,"Matharu, Taran",,,,4,4.31,Feiwel & Friends,Kindle Edition,352,2017,2017,,3/16/2019,,,read,,,,1,0
25689056,"The Inquisition (Summoner, #2)",Taran Matharu,"Matharu, Taran",,1250076315,9781250076311,4,4.32,Feiwel & Friends,Hardcover,368,2016,2016,,3/16/2019,,,read,,,,1,0
22297138,"The Novice (Summoner, #1)",Taran Matharu,"Matharu, Taran",,,,4,4.12,Feiwel and Friends,Kindle Edition,398,2015,2015,,3/16/2019,,,read,,,,1,0
18512,"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,"Tolkien, J.R.R.",Maria Skibniewska,,,5,4.55,Del Rey,Mass Market Paperback,404,2003,1955,,3/16/2019,,,read,,,,1,0
15241,"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,"Tolkien, J.R.R.","Peter S. Beagle, Дж.Р.Р. Толкін, Аліна Немірова, П. Риженко",0618346260,9780618346264,5,4.47,Houghton Mifflin,Paperback,322,2003,1954,,3/16/2019,,,read,,,,1,0
985630,"The Greatest War Stories Never Told: 100 Tales from Military History to Astonish, Bewilder, and Stupefy",Rick Beyer,"Beyer, Rick",,0060760176,9780060760175,3,3.75,Harper,Hardcover,224,2005,2005,,3/16/2019,,,read,,,,1,0
991312,"The Greatest Presidential Stories Never Told: 100 Tales from History to Astonish, Bewilder and Stupefy (The Greatest Stories Never Told)",Rick Beyer,"Beyer, Rick",,0060760184,9780060760182,3,3.81,Harper,Hardcover,214,2007,2007,,3/16/2019,,,read,,,,1,0
11206115,The Greatest Stories Never Told,Rick Beyer,"Beyer, Rick",,1606710605,9781606710609,4,3.79,MJF Books,Paperback,224,2010,2003,,3/16/2019,,,read,,,,1,0
11971544,"Inheritance, Or, The Vault Of Souls (The Inheritance Cycle, #4)",Christopher Paolini,"Paolini, Christopher",,0307930742,9780307930743,5,4.12,Alfred A. Knopf,Paperback,860,2011,2011,,3/16/2019,,,read,,,,1,0
